,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
44,U554,ses0,1,0,Encoding,731099,731599,24,5,C Hall,N,1,0,1.0,['rubyHeart0002'],,,,,
45,U554,ses0,1,0,Encoding,731599,732099,25,5,C Hall,N,1,0,1.0,['rubyHeart0002'],,,,,
46,U554,ses0,1,0,Encoding,732099,732599,26,5,SE Room,N,0,0,1.0,['rubyHeart0002'],,,,,
47,U554,ses0,1,0,Encoding,732599,733099,27,5,SE Room,N,0,0,1.0,['rubyHeart0002'],,,,,
48,U554,ses0,1,0,Encoding,733099,733599,28,5,SE Room,N,1,0,1.0,['rubyHeart0002'],,,,,
49,U554,ses0,1,0,Encoding,733599,734099,29,5,C Hall,NE,1,0,1.0,['rubyHeart0002'],,,,,
50,U554,ses0,1,0,Encoding,734099,734599,30,6,NE Room,NE,1,0,0.0,,,,,,
51,U554,ses0,1,0,Encoding,734599,735099,31,6,NE Room,NE,1,0,0.0,,,,,,
52,U554,ses0,1,0,Encoding,735099,735599,32,6,NE Room,NE,1,0,0.0,,,,,,
53,U554,ses0,1,0,Encoding,735599,736099,33,6,NE Room,N,1,0,0.0,,,,,,
54,U554,ses0,1,0,Encoding,736099,736599,34,6,NE Room,N,1,0,0.0,,,,,,
55,U554,ses0,1,0,Encoding,736599,737099,35,6,NE Hall,N,1,0,0.0,,,,,,
56,U554,ses0,1,0,Encoding,737099,737599,36,7,NE Hall,NW,1,0,0.0,,,,,,
57,U554,ses0,1,0,Encoding,737599,738099,37,7,NE Hall,NW,1,0,0.0,,,,,,
58,U554,ses0,1,0,Encoding,738099,738599,38,7,NE Hall,W,1,0,0.0,,,,,,
59,U554,ses0,1,0,Encoding,738599,739099,39,7,NE Hall,W,1,0,0.0,,,,,,
60,U554,ses0,1,0,Encoding,739099,739599,40,7,NE Hall,W,1,0,0.0,,,,,,
61,U554,ses0,1,0,Encoding,739599,740099,41,7,NE Hall,W,1,0,0.0,,,,,,
62,U554,ses0,1,0,Encoding,740099,740599,42,8,NE Hall,W,1,0,0.0,,,,,,
63,U554,ses0,1,0,Encoding,740599,741099,43,8,NE Hall,SW,1,0,0.0,,,,,,
64,U554,ses0,1,0,Encoding,741099,741599,44,8,N Passage,SW,1,1,0.0,,,,,,
65,U554,ses0,1,0,Encoding,741599,742099,45,8,N Passage,SW,1,1,0.0,,,,,,
66,U554,ses0,1,0,Encoding,742099,742599,46,8,N Passage,SW,0,1,0.0,,,,,,
67,U554,ses0,1,0,Encoding,742599,743099,47,8,N Passage,SW,1,1,0.0,,,,,,
