,trial,gameState,45-1
339,2,Retrieval,0
340,2,Retrieval,0
341,2,Retrieval,1
342,2,Retrieval,0
343,2,Retrieval,0
344,2,Retrieval,0
345,2,Retrieval,0
346,2,Retrieval,2
347,2,Retrieval,0
348,2,Retrieval,0
349,2,Retrieval,0
350,2,Retrieval,0
351,2,Retrieval,1
368,3,Delay1,0
369,3,Delay1,0
370,3,Delay1,4
371,3,Delay1,0
372,3,Delay1,0
373,3,Delay1,0
374,3,Delay1,0
375,3,Delay1,0
376,3,Delay1,2
377,3,Delay1,0
378,3,Delay1,0
379,3,Delay1,0
380,3,Delay1,0
381,3,Delay1,0
382,3,Delay1,0
383,3,Delay1,0
384,3,Delay1,1
385,3,Delay1,0
386,3,Delay1,0
387,3,Delay1,0
388,3,Encoding,0
389,3,Encoding,0
390,3,Encoding,0
391,3,Encoding,0
392,3,Encoding,0
393,3,Encoding,0
394,3,Encoding,0
395,3,Encoding,0
396,3,Encoding,0
397,3,Encoding,0
398,3,Encoding,1
399,3,Encoding,2
400,3,Encoding,0
401,3,Encoding,0
402,3,Encoding,0
403,3,Encoding,0
404,3,Encoding,0
405,3,Encoding,0
406,3,Encoding,0
407,3,Encoding,1
408,3,Encoding,1
409,3,Encoding,0
410,3,Encoding,0
411,3,Encoding,0
412,3,Encoding,0
413,3,Encoding,0
414,3,Encoding,0
415,3,Encoding,0
416,3,Encoding,0
417,3,Encoding,1
418,3,Encoding,1
419,3,Encoding,1
420,3,Encoding,0
421,3,Encoding,0
422,3,Encoding,1
423,3,Encoding,0
424,3,Encoding,0
425,3,Encoding,0
426,3,Encoding,0
427,3,Encoding,0
428,3,Encoding,1
429,3,Encoding,1
430,3,Encoding,0
431,3,Encoding,1
432,3,Encoding,0
433,3,Encoding,0
434,3,Encoding,0
435,3,Encoding,0
436,3,Encoding,0
437,3,Encoding,0
438,3,Encoding,0
439,3,Encoding,0
440,3,Encoding,0
441,3,Encoding,0
442,3,Encoding,1
443,3,Encoding,3
444,3,Encoding,0
445,3,Encoding,0
446,3,Encoding,0
