,0
765,1659886925446.681
766,1659886926503.993
767,1659886927355.618
768,1659886928492.961
769,1659886929614.148
770,1659886930730.71
771,1659886931588.116
772,1659886932518.616
773,1659886933499.397
774,1659886934394.459
775,1659886935364.865
776,1659886936409.083
777,1659886937587.926
778,1659886938664.176
779,1659886939747.738
780,1659886940660.05
781,1659886941593.3
782,1659886942717.987
783,1659886943842.986
784,1659886944726.392
785,1659886945590.611
786,1659886946402.767
787,1659886947492.079
788,1659886948579.328
789,1659886949751.922
790,1659886950820.171
791,1659886951964.764
792,1659886953126.733
793,1659886954033.639
794,1659886954859.638
795,1659886955865.669
796,1659886956671.294
797,1659886957620.543
798,1659886958649.731
799,1659886959480.293
800,1659886960390.699
801,1659886961402.948
802,1659886962438.823
803,1659886963299.322
804,1659886964329.572
805,1659886965279.822
806,1659886966280.352
807,1659886967111.446
808,1659886968174.07
809,1659886969145.07
810,1659886970021.632
811,1659886970879.913
812,1659886972000.6
813,1659886973194.475
814,1659886974216.881
815,1659886975341.443
816,1659886976151.442
817,1659886977134.254
818,1659886977951.785
819,1659886978957.847
820,1659886980041.722
821,1659886981208.471
822,1659886982173.409
823,1659886983340.189
824,1659886984192.533
825,1659886985363.72
826,1659886986258.313
827,1659886987081.313
828,1659886988034.719
829,1659886989124.281
830,1659886990088.812
831,1659886990982.999
832,1659886991932.467
833,1659886992978.748
834,1659886993952.498
835,1659886995051.997
836,1659886996150.028
837,1659886997214.246
838,1659886998108.965
839,1659886999242.245
840,1659887000306.87
841,1659887001488.745
842,1659887002315.744
843,1659887003231.588
844,1659887004326.462
845,1659887005337.024
846,1659887006161.055
847,1659887007329.18
848,1659887008414.148
849,1659887009315.335
850,1659887010310.46
851,1659887011335.084
852,1659887012267.99
853,1659887013090.021
854,1659887014037.927
855,1659887014980.427
856,1659887015828.395
857,1659887016897.613
858,1659887017704.894
859,1659887018764.519
860,1659887019619.894
861,1659887020596.237
862,1659887021673.924
863,1659887022847.549
864,1659887023653.517
865,1659887024836.048
866,1659887025944.079
867,1659887026818.641
868,1659887027838.703
869,1659887028961.077
870,1659887029787.546
871,1659887030734.014
872,1659887031620.92
873,1659887032504.951
874,1659887033646.544
875,1659887034749.2
876,1659887035889.512
877,1659887036738.23
878,1659887037608.136
879,1659887038650.198
880,1659887039797.104
881,1659887040723.104
882,1659887041663.478
883,1659887042515.853
884,1659887043409.384
885,1659887044550.446
886,1659887045712.664
887,1659887046640.008
888,1659887047539.695
889,1659887048371.226
890,1659887049422.507
891,1659887050250.944
892,1659887051307.037
893,1659887052342.287
894,1659887053420.567
895,1659887054307.755
896,1659887055211.036
897,1659887056064.91
898,1659887056973.972
899,1659887058087.503
900,1659887059188.69
901,1659887060339.221
902,1659887061286.908
903,1659887062448.97
904,1659887063323.345
905,1659887064172.407
906,1659887065107.813
907,1659887065956.25
908,1659887066837.062
909,1659887067881.53
910,1659887068882.561
911,1659887069683.467
912,1659887070681.686
913,1659887071645.685
914,1659887072758.341
915,1659887073886.997
916,1659887074724.09
917,1659887075748.465
918,1659887076827.652
919,1659887077691.933
920,1659887078511.745
921,1659887079492.713
922,1659887080667.963
923,1659887081656.244
924,1659887082527.868
925,1659887083725.212
926,1659887084814.617
927,1659887085866.336
928,1659887086871.71
929,1659887087925.679
930,1659887088924.053
931,1659887090011.615
932,1659887091150.709
933,1659887092107.958
934,1659887093249.364
935,1659887094445.77
936,1659887095624.113
937,1659887096601.894
938,1659887097779.393
939,1659887098623.737
940,1659887099628.893
941,1659887100742.173
942,1659887101588.892
943,1659887102642.766
944,1659887103673.11
945,1659887104724.078
946,1659887105754.328
947,1659887106646.14
948,1659887107768.671
949,1659887108917.92
950,1659887109767.389
951,1659887110847.169
952,1659887111821.013
953,1659887112666.012
954,1659887113758.825
955,1659887114678.262
956,1659887115853.824
957,1659887117013.573
958,1659887118103.729
959,1659887118982.104
960,1659887119941.135
961,1659887121024.54
962,1659887122067.009
963,1659887123092.04
964,1659887123937.695
965,1659887125052.476
966,1659887125913.195
967,1659887126754.882
968,1659887127778.069
969,1659887128894.537
970,1659887130044.724
971,1659887131106.505
972,1659887132153.973
973,1659887133187.973
974,1659887134246.191
975,1659887135151.722
976,1659887136085.722
977,1659887137006.784
978,1659887138165.502
979,1659887139186.158
980,1659887140153.439
981,1659887141151.626
982,1659887142281.188
983,1659887143337.813
984,1659887144342.593
985,1659887145462.656
986,1659887146376.061
987,1659887147470.811
988,1659887148534.217
989,1659887149555.279
990,1659887150376.654
991,1659887151196.528
992,1659887152283.09
993,1659887153382.871
994,1659887154467.339
995,1659887155588.62
996,1659887156460.401
997,1659887157481.901
998,1659887158490.932
999,1659887159606.056
1000,1659887160595.774
1001,1659887161585.493
1002,1659887162653.774
1003,1659887163459.992
1004,1659887164659.117
1005,1659887165648.116
1006,1659887166480.303
1007,1659887167619.428
1008,1659887168605.021
1009,1659887169591.833
1010,1659887170776.02
1011,1659887171830.707
1012,1659887172630.988
1013,1659887173500.519
1014,1659887174611.019
1015,1659887175773.143
1016,1659887176927.424
1017,1659887178114.08
1018,1659887178934.798
1019,1659887179861.11
1020,1659887180862.329
1021,1659887181828.61
1022,1659887182805.766
1023,1659887183608.328
1024,1659887184702.952
1025,1659887185833.546
1026,1659887187007.451
1027,1659887188154.92
1028,1659887189305.044
1029,1659887190442.981
1030,1659887191277.356
1031,1659887192390.637
1032,1659887193502.386
1033,1659887194344.761
1034,1659887195176.042
1035,1659887196354.448
1036,1659887197482.51
1037,1659887198605.822
1038,1659887199662.446
1039,1659887200477.821
1040,1659887201565.821
1041,1659887202539.133
1042,1659887203448.507
1043,1659887204324.476
1044,1659887205361.444
1045,1659887206327.725
1046,1659887207145.912
1047,1659887208162.693
1048,1659887209353.442
1049,1659887210474.379
1050,1659887211641.379
1051,1659887212526.066
1052,1659887213526.784
1053,1659887214408.815
1054,1659887215323.065
1055,1659887216146.127
1056,1659887216957.533
1057,1659887218022.876
1058,1659887218934.126
